"Innovation_Timeline_(Tech_Sub_Domain_-_Publication_Date)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"COMPUTER TECHNOLOGY",64,53,45,26,10,24,21,55,23,12,25,29,42,84,106,674,1229,6314,3352,4655,2796,2010,2028,2163,2717,3500,9982,4351,3648,4879,6220,10339,9175,19307,31892,7179
"DIGITAL COMMUNICATION",18,13,12,5,1,2,1,6,14,4,15,10,13,24,38,367,572,4102,2255,2880,2757,2016,2022,2392,2829,3360,9702,4732,3951,6314,8316,10830,10706,20421,28736,6806
"PHARMACEUTICALS",83,64,79,49,121,46,58,147,84,166,202,168,194,310,351,1922,1461,11763,6033,7736,4892,2896,3140,2299,3505,4536,8636,3937,3099,4061,4583,7176,6815,10993,15671,3097
"ORGANIC FINE CHEMISTRY",244,195,271,127,237,126,121,301,184,222,317,261,300,359,437,1851,1658,10954,5950,7345,4600,2844,3301,2330,3507,4547,8578,3922,2794,3531,3915,6097,4573,6560,8384,1462
"MEDICAL TECHNOLOGY",63,62,79,59,65,43,38,93,113,47,65,81,112,118,110,586,780,4438,2499,3329,2281,1507,1858,1624,2544,3309,6708,3175,2696,3487,4756,7851,6804,13024,20849,3886
"APPARATUS",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"ELECTRICAL MACHINERY",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"ENERGY",243,209,151,91,111,143,78,169,150,60,80,81,114,177,142,595,805,3738,2451,3211,2300,1664,1828,1936,2909,3623,7450,3397,2529,3662,5101,8601,6854,12949,17052,3277
"TRANSPORT",120,113,106,43,40,44,34,73,51,20,50,36,61,82,97,390,531,2195,1624,2028,1467,970,1207,1149,1947,2609,4580,2619,2204,2842,3776,6058,4701,10272,13465,2225
"TELECOMMUNICATIONS",46,46,39,21,23,20,22,26,33,27,46,35,52,89,83,602,978,5505,3363,3842,2394,1284,1285,1490,1632,2120,6180,1953,1606,2291,2660,5083,4410,7279,10833,2066
"BASIC MATERIALS CHEMISTRY",308,294,287,147,173,125,121,228,180,102,192,200,217,277,197,1101,925,5075,2959,3367,2373,1499,1786,1347,2216,3140,6286,2591,1874,2620,2611,4540,3423,5740,7224,1369
"MEASUREMENT",108,120,99,42,44,48,38,80,51,34,41,39,41,61,65,383,527,2797,1753,2209,1596,1021,1210,1015,1677,2230,4942,2016,1550,2217,3053,5213,4172,8650,12446,2332
"CHEMICAL ENGINEERING",307,309,292,146,129,113,94,180,155,87,144,116,186,199,171,755,913,4221,2440,2856,1835,1213,1280,1028,1995,2556,5123,2076,1508,2224,2872,5006,3514,6248,7787,1388
"BIOTECHNOLOGY",45,45,43,25,47,19,23,68,30,51,66,52,61,97,108,559,516,4172,2234,3211,2449,1613,1658,1209,1958,2500,5384,2318,2008,2427,2916,4518,3453,5904,7477,1230
"OTHER SPECIAL MACHINES",225,217,192,79,82,82,53,104,105,59,107,78,111,157,130,543,668,3091,1696,2063,1353,862,952,813,1386,2027,4205,1636,1294,2076,2340,4074,3284,6849,9985,1782
"MATERIALS",257,327,269,119,132,138,105,170,146,87,110,112,156,172,150,610,723,2926,1865,2199,1384,935,1187,979,1655,2180,3959,2147,1460,2008,2215,3791,2883,5781,7321,1320
"METALLURGY",257,327,269,119,132,138,105,170,146,87,110,112,156,172,150,610,723,2926,1865,2199,1384,935,1187,979,1655,2180,3959,2147,1460,2008,2215,3791,2883,5781,7321,1320
"ENGINES",121,108,84,62,54,58,40,71,88,41,57,54,67,88,62,450,620,2383,1551,2069,1472,1016,1228,997,1757,2447,4371,2493,2149,2321,2419,3748,2905,6596,6113,831
"PUMPS",121,108,84,62,54,58,40,71,88,41,57,54,67,88,62,450,620,2383,1551,2069,1472,1016,1228,997,1757,2447,4371,2493,2149,2321,2419,3748,2905,6596,6113,831
"TURBINES",121,108,84,62,54,58,40,71,88,41,57,54,67,88,62,450,620,2383,1551,2069,1472,1016,1228,997,1757,2447,4371,2493,2149,2321,2419,3748,2905,6596,6113,831
"AUDIO-VISUAL TECHNOLOGY",56,57,47,21,17,37,23,40,32,24,31,29,45,80,86,394,714,3970,2059,2438,1481,951,804,867,1294,1507,3865,1048,903,1256,2439,3959,2516,5500,7974,1137
"MECHANICAL ELEMENTS",197,173,163,78,95,69,68,102,96,55,47,50,79,107,73,362,512,2359,1542,1952,1251,868,1005,840,1464,2097,3918,1715,1499,1672,2052,3327,2312,5675,5652,755
"CONTROL",60,56,41,15,18,12,11,28,15,22,23,17,30,34,43,211,269,1368,817,913,583,377,412,486,726,1094,2597,1098,991,1372,2212,3852,3054,6607,11458,2676
"MACROMOLECULAR CHEMISTRY",165,153,128,75,79,101,76,126,104,56,103,83,115,124,133,534,651,3346,1777,2152,1498,1020,1106,867,1610,1953,4035,1645,1062,1627,1795,3485,2329,3535,4269,869
"POLYMERS",165,153,128,75,79,101,76,126,104,56,103,83,115,124,133,534,651,3346,1777,2152,1498,1020,1106,867,1610,1953,4035,1645,1062,1627,1795,3485,2329,3535,4269,869
"HANDLING",152,125,137,75,69,65,61,127,117,51,78,47,89,122,101,413,558,2449,1403,1735,1128,698,819,722,1246,1573,3145,1360,1035,1413,2205,3278,2220,5125,7745,1069
"IT METHODS FOR MANAGEMENT",,,,,,,,,,1,,,,,3,13,25,399,273,471,429,356,408,446,564,855,1952,1043,946,1286,2135,3733,2819,6954,12526,3283
"CIVIL ENGINEERING",94,130,102,52,55,67,53,86,83,38,58,63,54,82,58,280,330,1626,1022,1200,890,534,652,590,1071,1429,2453,1088,866,1228,1765,3016,2171,4955,6241,938
"MACHINE TOOLS",118,111,110,59,48,49,39,73,89,36,55,52,89,92,83,333,402,1937,1198,1415,955,604,792,755,1068,1496,2914,1267,958,1212,1429,2594,1928,4085,4839,634
"ENVIRONMENTAL TECHNOLOGY",74,96,114,39,30,26,24,57,51,34,45,51,71,67,51,284,373,1483,924,1250,854,507,676,562,941,1298,2483,1145,869,1302,1813,3179,2098,4050,5353,1034
"COATING",149,163,113,68,39,61,36,73,49,31,56,38,68,91,99,352,414,2266,1258,1552,970,566,722,606,887,1556,3087,1032,811,1176,1356,2505,1840,3316,4063,738
"SURFACE TECHNOLOGY",149,163,113,68,39,61,36,73,49,31,56,38,68,91,99,352,414,2266,1258,1552,970,566,722,606,887,1556,3087,1032,811,1176,1356,2505,1840,3316,4063,738
"TEXTILE AND PAPER MACHINES",158,150,152,78,98,94,70,179,154,85,113,64,114,136,90,505,705,2656,1502,1802,1013,616,662,511,902,1079,2318,983,719,1101,1156,1694,1301,2978,3050,424
"OPTICS",50,38,37,17,24,13,10,17,15,11,25,27,20,31,36,205,264,1588,782,948,658,480,515,440,734,938,2224,897,707,1113,2012,2817,1651,3811,5146,754
"OTHER CONSUMER GOODS",58,48,53,37,34,34,32,42,55,20,51,55,63,91,57,281,350,1509,929,1075,674,483,459,378,659,906,2060,997,794,1021,1825,2598,1675,3522,5210,763
"THERMAL PROCESSES AND APPARATUS",149,106,118,54,46,51,30,79,77,44,66,49,71,93,69,298,318,1284,800,931,686,519,594,561,822,1165,1976,920,774,977,1245,1884,1401,3109,3531,605
"FOOD CHEMISTRY",60,55,49,42,40,25,34,92,74,62,97,56,95,85,59,300,318,1617,973,1288,895,566,618,512,868,1010,1971,695,632,842,1146,1973,1501,2458,3534,678
"SEMICONDUCTORS",29,21,21,13,8,7,2,17,11,3,11,9,25,30,26,116,173,1083,581,823,602,487,515,422,659,743,1928,739,527,846,1158,2234,1693,3494,4887,753
"FURNITURE",43,50,28,16,23,14,25,40,49,18,34,31,43,39,42,145,182,870,546,684,449,291,361,308,501,726,1333,642,523,786,1174,2059,1746,3458,6498,893
"GAMES",43,50,28,16,23,14,25,40,49,18,34,31,43,39,42,145,182,870,546,684,449,291,361,308,501,726,1333,642,523,786,1174,2059,1746,3458,6498,893
"ANALYSIS OF BIOLOGICAL MATERIALS",14,16,17,4,8,2,4,2,8,4,3,6,4,11,24,177,162,1263,646,851,489,322,307,292,414,694,1486,409,349,472,944,1581,968,2146,3119,684
"BASIC COMMUNICATION PROCESSES",36,17,27,6,7,8,8,12,10,10,24,18,28,46,33,143,225,971,544,615,387,308,246,279,273,386,1156,412,299,451,481,812,633,1230,1492,269
"MICRO-STRUCTURAL AND NANO-TECHNOLOGY",,,,,,,,,,1,,,,1,,8,19,117,70,90,59,26,42,62,86,193,380,100,92,108,399,681,354,933,1894,455
"MATERIALS, METALLURGY",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,