"Patenting Trends","Applications Filed","Grant Published"
"2025",12715,5656
"2024",101584,64963
"2023",100985,76039
"2022",90890,30563
"2021",74849,30227
"2020",62833,25897
"2019",62165,23567
"2018",55592,13883
"2017",52436,12334
"2016",50160,7905
"2015",50697,5975
"2014",47224,6174
"2013",46506,3416
"2012",47275,4395
"2011",46049,5226
"2010",42170,7439
"2009",38880,13310
"2008",40561,14554
"2007",35332,10469
"2006",28069,2862
"2005",21919,925
"2004",14742,2215
"2003",8094,2600
"2002",6815,2129
"2001",6103,1684
"2000",4528,1929
"1999",2463,1323
"1998",3082,2159
"1997",3560,2621
"1996",1623,1270
"1995",1334,1511
"1994",38,1643
"1993",21,1132
"1992",21,1876
"1991",10,1977
"1990",2,2130