"Max Citation Per Record","Total"
"IN296620A1 | IL-1A ABS AND METHODS OF USE | XBIOTECH INC"
"IN-DELNP-2010-09108A | IL-1A ABS AND METHODS OF USE | XBIOTECH INC (CA)",644
"IN359661A1 | CYTOTOXIC BENZODIAZEPINE DERIVATIVES | IMMUNOGEN INC (US)",644
"IN201717008119A | CYTOTOXIC BENZODIAZEPINE DERIVATIVES | IMMUNOGEN INC (US)",152
"IN332161A1 | METHOD FOR ENTROPY ENCODING SLICE SEGMENT AND APPARATUS THEREFOR AND METHOD FOR ENTROPY DECODING SLICE SEGMENT AND APPARATUS THEREFOR | SAMSUNG ELECTRONIC CO LTD",152
"IN-MUMNP-2015-01889A | METHOD FOR ENTROPY ENCODING SLICE SEGMENT AND APPARATUS THEREFOR AND  METHOD FOR ENTROPY DECODING SLICE SEGMENT AND APPARATUS THEREFOR | SAMSUNG ELECTRONIC CO LTD (KR)",101
"IN408499A1 | IMAGE ENCODING/DECODING METHOD AND DEVICE | B1 INSTITUTE OF IMAGE TECHNOLOGY INC (KR)",101
"IN202117015912A | IMAGE ENCODING/DECODING METHOD AND DEVICE | B1 INSTITUTE OF IMAGE TECHNOLOGY INC (KR)",27
"IN398931A1 | ULTRA HIGH DENSITY CELL BANKING METHODS | GENZYME CORP (US)",27
"IN201737013379A | ULTRA HIGH DENSITY CELL BANKING METHODS | GENZYME CORP (US)",16
"IN207379A1 | 'A ZEOLITIC MATERIAL TIQ-6, A MICROPOROUS MATEIRLS METIQ-6 AND PROCESS FOR PREPARATION THEREOF". | CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (ES); POLYTECHNIC UNIV OF VALENCIA",16
"IN-PCT-KOL-2002-00840A | A ZEOLITIC MATERIAL TIQ-6, A MICROPOROUS MATEIRLS METIQ-6 AND PROCESS FOR PREPARATION THEREOF". | CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (ES); POLYTECHNIC UNIV OF VALENCIA",16
"IN-KOL-2002-00840A | Microporous materials (TIQ-6 and METIQ-6) of high surface area active in oxidation reactions | CONSEJO SUPERIOR INVESTIGACION (ES)",16
"IN366189A1 | REDUCING VISCOSITY OF PHARMACEUTICAL FORMULATIONS | AMGEN INC (CALIFORNIA, US)",16
"IN201717014850A | REDUCING VISCOSITY OF PHARMACEUTICAL FORMULATIONS | AMGEN INC (CALIFORNIA, US)",15
"IN364239A1 | NOVEL HETEROCYCLIC ANTIESTROGENS | SUN PHARMA ADVANCED RESEARCH CO LTD (IN)",15
"IN201827017211A | NOVEL HETEROCYCLIC ANTIESTROGENS | SUN PHARMA ADVANCED RESEARCH CO LTD (IN)",9
"IN399441A1 | Straddle-type vehicle | YAMAHA HATSUDOKI KK (JP)",9
"IN-KOL-2014-00789A | Straddle-type vehicle | YAMAHA HATSUDOKI KK (JP)",5
"IND411336-001S | HAIR DRYER | SHARP KK (OSAKA, JP)",5